DATE,vwretd,vwretx
20110309,-0.002436,-0.002587
20110310,-0.019781,-0.019790
20110311,0.006944,0.006638
20110314,-0.005473,-0.005512
20110315,-0.011147,-0.011172
20110316,-0.016636,-0.016686
20110317,0.012219,0.012191
20110318,0.004858,0.004813
20110321,0.016437,0.016420
20110322,-0.003237,-0.003329
20110323,0.002864,0.002847
20110324,0.008545,0.008491
20110325,0.003132,0.003098
20110328,-0.003327,-0.003330
20110329,0.007150,0.006910
20110330,0.008229,0.008144
20110331,-0.000607,-0.000609
20110401,0.005456,0.005359
20110404,0.001150,0.001068
20110405,0.001334,0.001324
20110406,0.001742,0.001475
20110407,-0.002262,-0.002308
20110408,-0.003387,-0.003391
20110411,-0.004719,-0.004738
20110412,-0.009239,-0.009252
20110413,0.001297,0.001175
20110414,0.000540,0.000528
20110415,0.003966,0.003956
20110418,-0.011620,-0.011629
20110419,0.005718,0.005687
20110420,0.014281,0.014259
20110421,0.005870,0.005816
20110425,-0.001859,-0.001865
20110426,0.008156,0.008146
20110427,0.006154,0.005969
20110428,0.002939,0.002853
20110429,0.003124,0.003104
20110502,-0.003564,-0.003616
20110503,-0.006630,-0.006645
20110504,-0.007962,-0.008142
20110505,-0.009449,-0.009523
20110506,0.004603,0.004510
20110509,0.006145,0.006134
20110510,0.008473,0.008446
20110511,-0.012235,-0.012698
20110512,0.004045,0.003939
20110513,-0.008904,-0.008948
20110516,-0.006951,-0.006999
20110517,-0.000640,-0.000826
20110518,0.010741,0.010595
20110519,0.002343,0.002280
20110520,-0.006786,-0.006835
20110523,-0.012995,-0.013014
20110524,-0.000395,-0.000403
20110525,0.005074,0.005020
20110526,0.005327,0.005148
20110527,0.005113,0.004898
20110531,0.010291,0.010272
20110601,-0.023080,-0.023206
20110602,-0.000636,-0.000676
20110603,-0.009284,-0.009320
20110606,-0.012444,-0.012478
20110607,0.000285,0.000247
20110608,-0.005965,-0.006137
20110609,0.007448,0.007438
20110610,-0.014085,-0.014098
20110613,-0.000900,-0.001253
20110614,0.013861,0.013810
20110615,-0.017295,-0.017353
20110616,-0.000108,-0.000230
20110617,0.002167,0.002110
20110620,0.005343,0.005328
20110621,0.015891,0.015780
20110622,-0.005472,-0.005625
20110623,-0.002589,-0.002608
20110624,-0.010565,-0.010608
20110627,0.008073,0.008070
20110628,0.013694,0.013437
20110629,0.008730,0.008632
20110630,0.009709,0.009671
20110701,0.013472,0.013324
20110705,-0.000024,-0.000062
20110706,0.001150,0.000904
20110707,0.010625,0.010568
20110708,-0.006335,-0.006338
20110711,-0.019343,-0.019360
20110712,-0.003807,-0.003816
20110713,0.004995,0.004887
20110714,-0.008045,-0.008061
20110715,0.006174,0.006171
20110718,-0.009476,-0.009504
20110719,0.016161,0.016155
20110720,0.000056,-0.000043
20110721,0.012261,0.012208
20110722,0.001434,0.001378
20110725,-0.006277,-0.006284
20110726,-0.004547,-0.004551
20110727,-0.021650,-0.021734
20110728,-0.002932,-0.003046
20110729,-0.005614,-0.005657
20110801,-0.003592,-0.003621
20110802,-0.025663,-0.025674
20110803,0.004959,0.004647
20110804,-0.050370,-0.050415
20110805,-0.004785,-0.004807
20110808,-0.068697,-0.068801
20110809,0.051232,0.051197
20110810,-0.038581,-0.038918
20110811,0.045272,0.045064
20110812,0.004763,0.004743
20110815,0.022837,0.022738
20110816,-0.010892,-0.011036
20110817,0.000851,0.000646
20110818,-0.045328,-0.045367
20110819,-0.015365,-0.015407
20110822,0.000037,-0.000001
20110823,0.033747,0.033735
20110824,0.011569,0.011449
20110825,-0.015915,-0.015934
20110826,0.016443,0.016346
20110829,0.029629,0.029519
20110830,0.003756,0.003565
20110831,0.005094,0.005000
20110901,-0.012128,-0.012223
20110902,-0.024637,-0.024672
20110906,-0.008140,-0.008178
20110907,0.029153,0.028966
20110908,-0.010878,-0.010919
20110909,-0.026589,-0.026601
20110912,0.004146,0.004094
20110913,0.010809,0.010444
20110914,0.012790,0.012756
20110915,0.015479,0.015346
20110916,0.003571,0.003494
20110919,-0.010938,-0.010948
20110920,-0.004099,-0.004130
20110921,-0.029438,-0.029498
20110922,-0.034406,-0.034418
20110923,0.005752,0.005624
20110926,0.021600,0.021553
20110927,0.012852,0.012843
20110928,-0.023685,-0.023993
20110929,0.008231,0.008174
20110930,-0.024638,-0.024676
20111003,-0.031945,-0.032054
20111004,0.023628,0.023536
20111005,0.019659,0.019316
20111006,0.020563,0.020488
20111007,-0.010928,-0.010950
20111010,0.034276,0.034276
20111011,0.001059,0.001035
20111012,0.011809,0.011659
20111013,-0.002951,-0.003022
20111014,0.017740,0.017736
20111017,-0.020853,-0.020879
20111018,0.020797,0.020796
20111019,-0.014165,-0.014280
20111020,0.003886,0.003859
20111021,0.019270,0.019249
20111024,0.016757,0.016703
20111025,-0.019826,-0.019828
20111026,0.011509,0.011496
20111027,0.036224,0.036095
20111028,0.000244,0.000177
20111031,-0.024640,-0.024651
20111101,-0.028618,-0.028655
20111102,0.017078,0.016954
20111103,0.019203,0.019019
20111104,-0.005563,-0.005586
20111107,0.004916,0.004860
20111108,0.011220,0.010781
20111109,-0.037862,-0.037957
20111110,0.007426,0.007265
20111111,0.019777,0.019777
20111114,-0.009374,-0.009500
20111115,0.004535,0.004358
20111116,-0.015099,-0.015304
20111117,-0.017210,-0.017233
20111118,-0.000291,-0.000357
20111121,-0.018659,-0.018759
20111122,-0.003935,-0.004178
20111123,-0.023250,-0.023278
